filename,seen,file_size_mb,has_hpylori,n_instances,augmented,aug_type,dataset_location
aug_flipD_5216-20-04_08_2020_b0s0c0x19988-2776y37440-2080m211.tiff,yes,13.445922,no,0,augmented,flipD,train
aug_flipD-hue_5216-20-04_08_2020_b0s0c0x27483-2776y26208-2080m139.tiff,yes,10.814642,no,0,augmented,flipD-hue,train
aug_flipD-hue-contrst_Part-two_b0s4c0x165517-2776y72788-2080m55.tiff,yes,15.702794,no,0,augmented,flipD-hue-contrst,train
aug_flipH-hue-contrst_Part-two_b0s0c0x24984-2776y13104-2080m55.tiff,yes,15.284752,no,0,augmented,flipH-hue-contrst,train
aug_flipH-hue_Part-two_b0s1c0x62652-2776y55524-2080m164.tiff,yes,13.488388,no,0,augmented,flipH-hue,train
aug_flipH_Part-two_b0s0c0x34978-2776y39312-2080m249.tiff,yes,13.720106,yes,1,augmented,flipH,train
aug_flipV-contrst_5216-20-04_08_2020_b0s0c0x12492-2776y33696-2080m183.tiff,yes,13.762798,no,0,augmented,flipV-contrst,train
aug_flipV-hue_Part-two_b0s0c0x22486-2776y1872-2080m6.tiff,yes,13.49494,no,0,augmented,flipV-hue,train
aug_flipV-contrst_Part-two_b0s2c0x191476-2776y56216-2080m3.tiff,yes,14.947098,no,0,augmented,flipV-contrst,train
aug_flipV-contrst_Part-two_b0s1c0x52658-2776y25572-2080m5.tiff,yes,14.82995,no,0,augmented,flipV-contrst,train
aug_flipH-hue_5216-20-04_08_2020_b0s1c0x186109-2776y30454-2080m151.tiff,yes,13.6364,no,0,augmented,flipH-hue,train
aug_flipD-contrst_5216-20-04_08_2020_b0s1c0x183610-2776y19222-2080m81.tiff,yes,13.690214,no,0,augmented,flipD-contrst,train
aug_flipV_Part-two_b0s1c0x37668-2776y66756-2080m231.tiff,yes,13.79856,no,0,augmented,flipV,train
aug_flipV-hue_Part-two_b0s1c0x35169-2776y57396-2080m167.tiff,yes,14.116778,no,0,augmented,flipV-hue,train
aug_flipD-hue_Part-two_b0s0c0x22486-2776y9360-2080m35.tiff,yes,13.484306,no,0,augmented,flipD-hue,train
aug_contrst_Part-two_b0s0c0x39975-2776y29952-2080m183.tiff,yes,14.88073,no,0,augmented,contrst,train
aug_flipV-hue_5216-20-04_08_2020_b0s0c0x24984-2776y3744-2080m16.tiff,yes,10.940874,no,0,augmented,flipV-hue,train
aug_hue-contrst_Part-two_b0s4c0x163018-2776y80276-2080m104.tiff,yes,15.155128,no,0,augmented,hue-contrst,train
